ResponseId_id,dimension_id,dimension,construct_id,construct,score,industry_synthetic,country_synthetic,continent_synthetic,role_synthetic
MAR_CAP_0000,1,Strategy and Vision,1,Strategic Alignment,4.5,Technology,United Kingdom,Africa,Management
MAR_CAP_0001,1,Strategy and Vision,1,Strategic Alignment,3.8,Technology,United Kingdom,Europe,Management
MAR_CAP_0002,1,Strategy and Vision,1,Strategic Alignment,3.8,Manufacturing,Canada,Asia,Staff
MAR_CAP_0003,1,Strategy and Vision,1,Strategic Alignment,3.2,Retail,United Kingdom,North America,IT & Data
MAR_CAP_0004,1,Strategy and Vision,1,Strategic Alignment,4.1,Financial Services,Germany,North America,IT & Data
MAR_CAP_0005,1,Strategy and Vision,1,Strategic Alignment,4.2,Healthcare,Germany,Europe,IT & Data
MAR_CAP_0006,1,Strategy and Vision,1,Strategic Alignment,3.2,Manufacturing,France,North America,Leadership
MAR_CAP_0007,1,Strategy and Vision,1,Strategic Alignment,3.6,Technology,Canada,Asia,Leadership
MAR_CAP_0008,1,Strategy and Vision,1,Strategic Alignment,3.7,Healthcare,United States,North America,Leadership
MAR_CAP_0009,1,Strategy and Vision,1,Strategic Alignment,4.2,Manufacturing,Germany,Africa,Leadership
MAR_CAP_0010,1,Strategy and Vision,1,Strategic Alignment,4.0,Retail,Canada,Africa,Staff
MAR_CAP_0011,1,Strategy and Vision,1,Strategic Alignment,3.7,Technology,Australia,Africa,Management
MAR_CAP_0012,1,Strategy and Vision,1,Strategic Alignment,3.1,Retail,Germany,Asia,Staff
MAR_CAP_0013,1,Strategy and Vision,1,Strategic Alignment,3.4,Financial Services,United States,North America,IT & Data
MAR_CAP_0014,1,Strategy and Vision,1,Strategic Alignment,4.0,Manufacturing,Canada,Europe,Staff
MAR_CAP_0015,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,Germany,Europe,IT & Data
MAR_CAP_0016,1,Strategy and Vision,1,Strategic Alignment,3.4,Manufacturing,Canada,Europe,IT & Data
MAR_CAP_0017,1,Strategy and Vision,1,Strategic Alignment,3.9,Technology,United Kingdom,North America,Leadership
MAR_CAP_0018,1,Strategy and Vision,1,Strategic Alignment,3.0,Healthcare,United Kingdom,Africa,Management
MAR_CAP_0019,1,Strategy and Vision,1,Strategic Alignment,3.9,Healthcare,United Kingdom,Africa,Leadership
MAR_CAP_0020,1,Strategy and Vision,1,Strategic Alignment,3.8,Technology,United States,Europe,IT & Data
MAR_CAP_0021,1,Strategy and Vision,1,Strategic Alignment,3.0,Retail,Germany,North America,Management
MAR_CAP_0022,1,Strategy and Vision,1,Strategic Alignment,4.6,Healthcare,United States,Africa,Leadership
MAR_CAP_0023,1,Strategy and Vision,1,Strategic Alignment,3.8,Healthcare,United States,North America,Staff
MAR_CAP_0024,1,Strategy and Vision,1,Strategic Alignment,4.2,Technology,Canada,Europe,Leadership
MAR_CAP_0025,1,Strategy and Vision,1,Strategic Alignment,3.6,Healthcare,Germany,Europe,Staff
MAR_CAP_0026,1,Strategy and Vision,1,Strategic Alignment,3.7,Retail,Australia,Asia,Management
MAR_CAP_0027,1,Strategy and Vision,1,Strategic Alignment,2.7,Retail,United Kingdom,Asia,IT & Data
MAR_CAP_0028,1,Strategy and Vision,1,Strategic Alignment,4.2,Technology,France,North America,IT & Data
MAR_CAP_0029,1,Strategy and Vision,1,Strategic Alignment,3.1,Retail,Canada,Asia,Management
MAR_CAP_0030,1,Strategy and Vision,1,Strategic Alignment,4.1,Financial Services,Germany,Asia,Leadership
MAR_CAP_0031,1,Strategy and Vision,1,Strategic Alignment,2.4,Technology,Canada,Africa,Staff
MAR_CAP_0032,1,Strategy and Vision,1,Strategic Alignment,4.0,Technology,Germany,North America,Leadership
MAR_CAP_0033,1,Strategy and Vision,1,Strategic Alignment,2.5,Technology,Canada,Asia,Management
MAR_CAP_0034,1,Strategy and Vision,1,Strategic Alignment,3.8,Healthcare,Germany,North America,Management
MAR_CAP_0035,1,Strategy and Vision,1,Strategic Alignment,3.9,Technology,Australia,Europe,Management
MAR_CAP_0036,1,Strategy and Vision,1,Strategic Alignment,4.3,Retail,Canada,North America,Leadership
MAR_CAP_0037,1,Strategy and Vision,1,Strategic Alignment,3.8,Technology,United Kingdom,North America,IT & Data
MAR_CAP_0038,1,Strategy and Vision,1,Strategic Alignment,2.8,Financial Services,France,Asia,Leadership
MAR_CAP_0039,1,Strategy and Vision,1,Strategic Alignment,3.8,Healthcare,Canada,Asia,Leadership
MAR_CAP_0040,1,Strategy and Vision,1,Strategic Alignment,3.1,Financial Services,France,Europe,IT & Data
MAR_CAP_0041,1,Strategy and Vision,1,Strategic Alignment,3.7,Retail,Germany,North America,Management
MAR_CAP_0042,1,Strategy and Vision,1,Strategic Alignment,3.0,Retail,France,Europe,IT & Data
MAR_CAP_0043,1,Strategy and Vision,1,Strategic Alignment,4.3,Retail,France,Africa,IT & Data
MAR_CAP_0044,1,Strategy and Vision,1,Strategic Alignment,2.9,Financial Services,Canada,North America,Management
MAR_CAP_0045,1,Strategy and Vision,1,Strategic Alignment,2.8,Technology,Australia,North America,IT & Data
MAR_CAP_0046,1,Strategy and Vision,1,Strategic Alignment,3.9,Financial Services,United Kingdom,North America,Staff
MAR_CAP_0047,1,Strategy and Vision,1,Strategic Alignment,3.5,Technology,Germany,Europe,IT & Data
MAR_CAP_0048,1,Strategy and Vision,1,Strategic Alignment,3.3,Technology,Canada,North America,Leadership
MAR_CAP_0049,1,Strategy and Vision,1,Strategic Alignment,3.2,Manufacturing,Canada,Africa,Management
MAR_CAP_0050,1,Strategy and Vision,1,Strategic Alignment,4.1,Retail,France,Africa,IT & Data
MAR_CAP_0051,1,Strategy and Vision,1,Strategic Alignment,3.9,Technology,France,North America,Leadership
MAR_CAP_0052,1,Strategy and Vision,1,Strategic Alignment,2.2,Manufacturing,Australia,Asia,Staff
MAR_CAP_0053,1,Strategy and Vision,1,Strategic Alignment,4.3,Retail,Canada,Europe,Staff
MAR_CAP_0054,1,Strategy and Vision,1,Strategic Alignment,3.7,Financial Services,United States,Europe,IT & Data
MAR_CAP_0055,1,Strategy and Vision,1,Strategic Alignment,3.8,Manufacturing,United States,North America,Management
MAR_CAP_0056,1,Strategy and Vision,1,Strategic Alignment,3.7,Technology,United States,Africa,Leadership
MAR_CAP_0057,1,Strategy and Vision,1,Strategic Alignment,3.1,Retail,Germany,North America,Leadership
MAR_CAP_0058,1,Strategy and Vision,1,Strategic Alignment,3.5,Manufacturing,Canada,Asia,IT & Data
MAR_CAP_0059,1,Strategy and Vision,1,Strategic Alignment,3.8,Technology,Canada,Europe,Leadership
MAR_CAP_0060,1,Strategy and Vision,1,Strategic Alignment,3.6,Healthcare,Canada,Asia,Leadership
MAR_CAP_0061,1,Strategy and Vision,1,Strategic Alignment,2.8,Financial Services,Germany,Africa,Leadership
