respondent_id,region,department,employment_type,age,user_language,sentiment_1,sentiment_2,sentiment_3,sentiment_4,sentiment_5,sentiment_6,sentiment_7,sentiment_8,sentiment_9,sentiment_10,sentiment_11,sentiment_12,sentiment_13,sentiment_14,sentiment_15,sentiment_16,sentiment_17,sentiment_18,sentiment_19,sentiment_20,sentiment_21,sentiment_22,sentiment_23,sentiment_24,sentiment_25
MAR_RESP_0001,Asia Pacific,Sales,>20 year,35-45,EN,2.7,2.5,2.2,2.4,2.9,2.4,2.6,2.2,2.8,2.9,2.5,1.2,2.3,2.1,2.3,2.2,2.8,2.5,1.9,2.2,3.0,3.3,2.6,2.7,2.9
MAR_RESP_0002,Latin America,Engineering,5-10 year,35-45,EN,2.5,2.1,2.5,2.5,3.3,2.7,2.7,3.3,3.3,2.8,2.4,1.9,2.6,2.4,1.8,2.2,2.6,2.4,2.8,2.3,3.1,3.3,2.6,2.3,2.6
MAR_RESP_0003,North America,Engineering,>20 year,<25,EN,2.4,2.6,1.5,2.7,2.4,2.5,2.3,2.5,2.7,2.6,2.3,1.6,2.3,2.2,2.3,2.8,2.5,2.8,1.6,2.7,2.7,2.2,1.8,2.7,2.2
MAR_RESP_0004,Asia Pacific,Engineering,3-5 year,45-55,EN,2.0,2.8,3.0,2.6,1.8,2.1,2.5,3.1,2.4,2.9,3.0,2.9,2.1,2.2,2.6,2.8,2.3,2.6,1.7,2.6,2.7,2.4,2.6,2.9,2.7
MAR_RESP_0005,Asia Pacific,Operations,<3 year,>55,EN,2.1,2.4,2.4,2.5,3.0,2.6,2.2,2.5,2.6,2.3,2.1,2.7,2.8,2.5,2.8,2.6,2.9,2.3,3.4,2.5,2.6,2.8,3.0,2.8,2.4
MAR_RESP_0006,Latin America,Finance,5-10 year,<25,EN,2.3,2.3,2.5,2.9,2.7,2.4,2.9,2.9,3.1,3.2,1.5,2.4,1.9,2.7,2.3,2.3,2.7,2.5,2.3,2.2,2.5,2.8,2.3,2.9,2.3
MAR_RESP_0007,North America,Operations,3-5 year,<25,EN,2.5,2.2,2.5,2.5,2.3,2.8,2.3,2.7,2.4,2.4,2.4,2.4,2.3,2.4,3.5,2.3,2.5,2.6,2.7,2.7,2.4,2.6,2.1,2.6,2.1
MAR_RESP_0008,North America,Finance,3-5 year,45-55,EN,2.1,2.0,2.9,2.2,2.2,2.6,2.9,2.4,2.5,2.8,2.9,2.5,2.4,2.5,2.9,2.4,2.1,2.2,2.4,2.7,2.7,2.4,2.5,3.1,3.0
MAR_RESP_0009,Asia Pacific,Operations,5-10 year,45-55,EN,2.6,3.1,1.8,2.2,2.1,2.9,2.0,2.5,2.5,2.4,2.4,2.0,2.4,2.4,2.4,2.9,2.7,2.7,2.1,2.4,2.2,2.2,2.3,2.9,2.9
MAR_RESP_0010,Europe,Operations,>20 year,35-45,EN,3.0,2.1,2.4,2.2,2.4,2.6,2.4,2.5,2.5,2.6,2.3,2.8,2.7,2.5,2.8,2.4,2.6,2.1,2.7,2.8,2.8,2.2,3.1,2.6,2.3
MAR_RESP_0011,Asia Pacific,Sales,3-5 year,45-55,EN,2.5,3.1,2.9,2.8,2.5,2.3,2.4,2.4,2.7,3.2,2.5,2.4,2.6,2.7,2.1,2.5,2.9,2.8,2.4,2.3,2.6,2.0,2.3,3.2,2.3
MAR_RESP_0012,Asia Pacific,Marketing,10-20 year,35-45,EN,2.3,2.1,2.4,2.2,2.2,2.7,2.8,2.8,2.6,2.7,3.1,2.8,2.5,3.1,2.4,2.6,2.2,2.6,2.3,2.7,2.6,2.2,2.4,3.1,2.9
MAR_RESP_0013,Asia Pacific,Operations,3-5 year,<25,EN,2.0,2.7,2.1,2.3,2.2,2.7,2.9,2.6,2.7,2.7,2.0,2.8,2.4,2.8,2.3,2.3,2.5,2.2,2.4,2.1,2.1,2.8,3.1,2.2,2.4
MAR_RESP_0014,Asia Pacific,Sales,>20 year,25-35,EN,3.1,1.9,2.2,2.8,2.7,2.2,2.7,2.2,3.1,2.7,2.3,2.5,3.0,2.3,1.8,2.3,2.0,1.9,2.5,2.4,2.5,2.7,2.5,1.7,3.1
